City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name,Current Description
158,Rudbar,AF,86.94,clear sky,30.15,62.6,,clear sky
163,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort,scattered clouds
166,Hamilton,US,86.94,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast,scattered clouds
168,Marsh Harbour,BS,83.64,clear sky,26.5412,-77.0636,Abaco Beach Resort,clear sky
169,Baherden,TM,85.66,clear sky,38.4362,57.4316,,clear sky
170,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Base Lodging,scattered clouds
175,Beruwala,LK,77.31,overcast clouds,6.4788,79.9828,The Palms Hotel,overcast clouds
183,Samarai,PG,76.26,overcast clouds,-10.6167,150.6667,Nuli Sapi,overcast clouds
186,Caapucu,PY,76.26,broken clouds,-26.2167,-57.2,Porton Estancia Santa Clara,broken clouds
189,Botwood,CA,76.89,broken clouds,49.1499,-55.3482,Exploits Inn & Suites,broken clouds
199,Kavaratti,IN,82.2,broken clouds,10.5669,72.642,Green leaf,broken clouds
206,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang,few clouds
208,Marsala,IT,76.95,clear sky,37.7966,12.4352,Villa Favorita Hotel e Resort,clear sky
209,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel,few clouds
214,Lumberton,US,88.45,overcast clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC",overcast clouds
217,Bambanglipuro,ID,75.4,scattered clouds,-7.95,110.2833,Puri Brata,scattered clouds
218,Keti Bandar,PK,85.44,overcast clouds,24.1447,67.4497,Haji laloo memon house,overcast clouds
227,Tautira,PF,75.43,broken clouds,-17.7333,-149.15,Pension Oaoa,broken clouds
231,Kenora,CA,76.17,overcast clouds,49.8167,-94.4337,Maynard Lake Lodge,overcast clouds
244,Matelica,IT,80.65,clear sky,43.2541,13.0106,Hotel Fioriti,clear sky
256,Udalguri,IN,82.72,clear sky,26.7667,92.1333,TREBLA,clear sky
258,El Playon,CO,88.07,scattered clouds,7.4713,-73.2031,Hotel Mirador Del Lago,scattered clouds
263,Marugame,JP,77.54,light rain,34.2833,133.7833,Marugame Plaza Hotel,light rain
267,Nipawin,CA,78.84,clear sky,53.3668,-104.0009,Tobin Lake Motel,clear sky
268,Jiangyou,CN,76.96,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn,overcast clouds
269,Meulaboh,ID,75.52,broken clouds,4.1363,96.1285,Kost Pria,broken clouds
271,Saint-Louis,SN,88.93,scattered clouds,16.3333,-15.0,,scattered clouds
272,Carutapera,BR,78.3,scattered clouds,-1.195,-46.02,Lidera,scattered clouds
274,Karachi,PK,85.82,overcast clouds,24.9056,67.0822,Sadaat,overcast clouds
282,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence,scattered clouds
284,Colares,PT,79.79,clear sky,38.7992,-9.4469,Arribas Sintra Hotel,clear sky
285,Pak Phanang,TH,77.85,overcast clouds,8.3511,100.202,Green Park Inn Hotel,overcast clouds
291,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort,scattered clouds
295,Manoel Urbano,BR,83.14,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio,overcast clouds
296,Sao Filipe,CV,75.36,clear sky,14.8961,-24.4956,Hotel Xaguate,clear sky
297,Srandakan,ID,75.56,scattered clouds,-7.9386,110.2506,Puri Brata,scattered clouds
306,Guerrero Negro,MX,75.54,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast",clear sky
