City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Quatre Cocos,MU,2022-07-13 20:30:43,-20.2078,57.7625,67.08,81,77,15.35
68,Gayduk,RU,2022-07-13 20:30:44,44.7849,37.7005,63.88,75,37,3.2
69,Hofn,IS,2022-07-13 20:29:19,64.2539,-15.2082,51.03,83,14,11.3
70,Capitan Bado,PY,2022-07-13 20:30:44,-23.2667,-55.5333,68.76,66,66,9.15
71,Ancud,CL,2022-07-13 20:28:05,-41.8697,-73.8203,42.22,79,85,10.0
72,Carnarvon,AU,2022-07-13 20:30:45,-24.8667,113.6333,55.47,94,18,5.75
73,Castro,BR,2022-07-13 20:30:45,-24.7911,-50.0119,54.64,93,100,9.37
74,Billerbeck,DE,2022-07-13 20:30:45,51.9667,7.3,71.28,82,97,7.9
75,Cabinda,AO,2022-07-13 20:30:46,-5.55,12.2,70.27,87,2,6.89
76,Fortuna,US,2022-07-13 20:30:46,40.5982,-124.1573,66.92,73,75,4.0
77,East London,ZA,2022-07-13 20:28:13,-33.0153,27.9116,60.78,72,0,7.05
78,La Ronge,CA,2022-07-13 20:30:46,55.1001,-105.2842,88.02,30,20,17.27
79,Busselton,AU,2022-07-13 20:29:11,-33.65,115.3333,59.41,74,0,13.06
80,Tete,MZ,2022-07-13 20:30:47,-16.1564,33.5867,75.29,53,75,10.36
81,Oranjestad,AW,2022-07-13 20:30:47,12.524,-70.027,84.15,74,75,16.11
82,Sochaczew,PL,2022-07-13 20:30:47,52.2294,20.2384,72.19,68,86,7.52
83,Mount Gambier,AU,2022-07-13 20:30:48,-37.8333,140.7667,44.51,100,100,6.91
84,Shache,CN,2022-07-13 20:30:48,38.4167,77.2406,70.12,38,100,5.46
85,Bocaiuva,BR,2022-07-13 20:30:49,-17.1078,-43.815,78.51,37,43,7.27
86,Lisala,CD,2022-07-13 20:30:49,2.15,21.5167,71.73,91,100,1.57
87,Waidhofen,DE,2022-07-13 20:30:49,48.5833,11.3333,72.21,52,75,0.0
88,Abu Samrah,SY,2022-07-13 20:30:50,35.3029,37.1841,75.54,59,0,9.73
89,Pangnirtung,CA,2022-07-13 20:30:50,66.1451,-65.7125,46.4,87,75,14.97
90,Seoul,KR,2022-07-13 20:30:06,37.5683,126.9778,74.59,100,75,1.14
91,Hobart,AU,2022-07-13 20:29:18,-42.8794,147.3294,39.06,93,20,4.61
92,Marawi,PH,2022-07-13 20:30:51,7.9986,124.2928,67.66,93,29,1.95
93,Khatanga,RU,2022-07-13 20:31:51,71.9667,102.5,43.38,82,100,9.13
94,Champua,IN,2022-07-13 20:31:52,22.0833,85.6667,76.89,94,74,11.32
95,Chokurdakh,RU,2022-07-13 20:31:52,70.6333,147.9167,43.45,71,73,12.57
96,Moree,AU,2022-07-13 20:31:52,-29.4667,149.85,38.73,89,0,13.11
97,Port Alfred,ZA,2022-07-13 20:31:52,-33.5906,26.891,56.86,81,0,10.38
98,Barrow,US,2022-07-13 20:31:53,71.2906,-156.7887,42.82,70,0,12.66
99,Kapaa,US,2022-07-13 20:31:53,22.0752,-159.319,82.72,73,75,17.27
100,La Rioja,ES,2022-07-13 20:30:11,42.25,-2.5,76.78,26,10,7.29
101,Nanortalik,GL,2022-07-13 20:31:41,60.1432,-45.2371,44.46,83,100,2.53
102,Floro,NO,2022-07-13 20:31:54,61.5996,5.0328,55.24,94,75,12.66
103,Mount Isa,AU,2022-07-13 20:31:54,-20.7333,139.5,49.77,53,0,11.5
104,Bethel,US,2022-07-13 20:31:56,41.3712,-73.414,90.73,49,20,9.22
105,Axim,GH,2022-07-13 20:31:56,4.8699,-2.2405,75.24,86,100,7.65
106,Kempsey,AU,2022-07-13 20:31:56,-31.0833,152.8333,48.87,87,60,9.55
107,Qaqortoq,GL,2022-07-13 20:29:11,60.7167,-46.0333,45.84,78,100,6.22
108,Safaga,EG,2022-07-13 20:31:57,26.7292,33.9365,89.76,31,99,17.78
109,San Felipe,VE,2022-07-13 20:31:57,10.3399,-68.7425,79.38,80,73,8.75
110,Leiyang,CN,2022-07-13 20:31:57,26.4024,112.8591,78.91,84,100,4.99
111,Aloleng,PH,2022-07-13 20:31:58,16.1307,119.7824,80.33,84,100,10.45
112,Norman Wells,CA,2022-07-13 20:31:58,65.282,-126.8329,53.64,94,100,10.36
113,Souillac,MU,2022-07-13 20:31:58,-20.5167,57.5167,66.58,88,75,3.44
114,Taltal,CL,2022-07-13 20:31:59,-25.4,-70.4833,56.79,80,91,5.77
115,Samarai,PG,2022-07-13 20:31:59,-10.6167,150.6667,77.61,83,100,19.53
116,Taoudenni,ML,2022-07-13 20:32:00,22.6783,-3.9836,106.9,10,71,6.67
117,Krasnokamensk,RU,2022-07-13 20:32:00,50.0979,118.0369,58.78,96,100,6.15
118,Znamenskoye,RU,2022-07-13 20:32:00,57.1281,73.8282,53.69,96,37,3.53
119,Acton Vale,CA,2022-07-13 20:28:12,45.6501,-72.5658,78.89,58,29,1.01
120,Rodrigues Alves,BR,2022-07-13 20:30:34,-7.738,-72.6509,88.0,68,95,2.3
121,Hithadhoo,MV,2022-07-13 20:32:01,-0.6,73.0833,83.55,73,96,13.44
122,Inirida,CO,2022-07-13 20:32:01,3.8653,-67.9239,78.84,95,88,2.93
123,Comodoro Rivadavia,AR,2022-07-13 20:30:20,-45.8667,-67.5,44.46,57,0,6.91
124,Bonthe,SL,2022-07-13 20:32:02,7.5264,-12.505,76.19,89,92,7.94
125,Iqaluit,CA,2022-07-13 20:32:02,63.7506,-68.5145,46.13,76,75,8.05
126,Longyearbyen,SJ,2022-07-13 20:32:03,78.2186,15.6401,49.84,93,75,5.75
127,Muisne,EC,2022-07-13 20:32:03,0.6,-80.0333,76.03,84,95,13.35
128,Camana,PE,2022-07-13 20:32:03,-16.6228,-72.7111,62.55,75,20,5.84
129,Port-Cartier,CA,2022-07-13 20:29:19,50.0334,-66.8654,71.82,57,94,6.64
130,Anadyr,RU,2022-07-13 20:29:21,64.75,177.4833,54.1,93,75,6.71
131,Mayo,US,2022-07-13 20:29:53,38.8876,-76.5119,92.39,65,56,3.0
132,Ilulissat,GL,2022-07-13 20:32:04,69.2167,-51.1,48.22,71,75,5.75
133,Butaritari,KI,2022-07-13 20:28:02,3.0707,172.7902,82.69,76,86,17.56
134,La Macarena,CO,2022-07-13 20:32:04,2.1837,-73.7849,81.95,70,86,6.31
135,Nyurba,RU,2022-07-13 20:32:05,63.2842,118.3319,57.34,81,100,2.57
136,Hamilton,US,2022-07-13 20:28:23,39.1834,-84.5333,88.88,44,40,12.66
137,Rudbar,AF,2022-07-13 20:32:05,30.15,62.6,86.63,19,0,14.97
138,Cumra,TR,2022-07-13 20:32:06,37.5732,32.7745,71.74,36,1,5.01
139,Alice Springs,AU,2022-07-13 20:33:06,-23.7,133.8833,27.95,86,0,4.61
140,Ajdabiya,LY,2022-07-13 20:33:06,30.7554,20.2263,78.71,53,0,15.37
141,Ullapool,GB,2022-07-13 20:33:07,57.8987,-5.1604,53.35,92,98,12.5
142,Sorland,NO,2022-07-13 20:33:07,67.667,12.6934,53.46,88,100,7.52
143,Dwarka,IN,2022-07-13 20:33:07,22.2394,68.9678,82.24,87,62,14.79
144,Victoria,HK,2022-07-13 20:29:01,22.2855,114.1577,85.32,83,70,1.99
145,Pacific Grove,US,2022-07-13 20:28:28,36.6177,-121.9166,75.81,73,0,11.5
146,Montpellier,FR,2022-07-13 20:31:03,43.6109,3.8772,75.56,83,0,3.44
147,Beringovskiy,RU,2022-07-13 20:33:08,63.05,179.3167,51.06,86,100,7.94
148,Huescar,ES,2022-07-13 20:33:09,37.811,-2.5412,79.12,27,0,3.6
149,Karratha,AU,2022-07-13 20:29:22,-20.7377,116.8463,64.38,57,32,9.17
150,Hervey Bay,AU,2022-07-13 20:33:09,-25.2986,152.8535,51.62,68,0,19.77
151,Mar Del Plata,AR,2022-07-13 20:33:10,-38.0023,-57.5575,57.22,61,0,11.01
